Country Name,Country Code,Time,Time Code,"Population ages 15-64, total [SP.POP.1564.TO]",GDP (constant 2015 US$) [NY.GDP.MKTP.KD],"Population, total [SP.POP.TOTL]",Urban population [SP.URB.TOTL],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],Lifetime risk of maternal death (1 in: rate varies by country) [SH.MMR.RISK],Urban population growth (annual %) [SP.URB.GROW],Urban population living in areas where elevation is below 5 meters (% of total population) [EN.POP.EL5M.UR.ZS],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD],"CO2 emissions from electricity and heat production, total (% of total fuel combustion) [EN.CO2.ETOT.ZS]","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) [SE.TER.CUAT.BA.MA.ZS]","Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Primary education, pupils [SE.PRM.ENRL]","Primary education, teachers [SE.PRM.TCHR]","Primary education, duration (years) [SE.PRM.DURS]"
Afghanistan,AFG,1960,YR1960,4788899,null,8622466,724373,8.401,33.285,31.87,32.535,null,null,null,null,null,null,null,null,null,null,null
Afghanistan,AFG,1961,YR1961,4877387,null,8790140,763336,8.684,33.813,32.409,33.068,null,null,5.239184823,null,41.48,null,null,null,null,null,null
Afghanistan,AFG,1962,YR1962,4971702,null,8969047,805062,8.976,34.297,32.883,33.547,null,null,5.322099176,null,41.81,null,null,null,null,null,null
Afghanistan,AFG,1963,YR1963,5067343,null,9157465,849446,9.276,34.773,33.346,34.016,null,null,5.36650792,null,41.62,null,null,null,null,null,null
Afghanistan,AFG,1964,YR1964,5162530,null,9355514,896820,9.586,35.246,33.828,34.494,null,null,5.427080074,null,45.13,null,null,null,null,null,null
Afghanistan,AFG,1965,YR1965,5255725,null,9565147,947332,9.904,35.702,34.289,34.953,null,null,5.47944395,null,47.25,null,null,null,null,null,null
Afghanistan,AFG,1966,YR1966,5347305,null,9783147,1001109,10.233,36.226,34.768,35.453,null,null,5.521405197,null,48.99,null,null,null,null,null,null
Afghanistan,AFG,1967,YR1967,5442953,null,10010030,1058060,10.57,36.711,35.225,35.924,null,null,5.532865709,null,53.67,null,null,null,null,null,null
Afghanistan,AFG,1968,YR1968,5544011,null,10247780,1118853,10.918,37.214,35.712,36.418,null,null,5.58670108,null,56.05,null,null,null,null,null,null
Afghanistan,AFG,1969,YR1969,5649463,null,10494489,1183254,11.275,37.701,36.206,36.91,null,null,5.596421691,null,56.76,null,null,null,null,null,null
Afghanistan,AFG,1970,YR1970,5761195,null,10752971,1251968,11.643,38.233,36.692,37.418,null,null,5.644844293,null,51.96,null,null,null,540685,13116,6
Afghanistan,AFG,1971,YR1971,5875339,null,11015857,1324216,12.021,38.76,37.178,37.923,null,null,5.610387296,null,48.72,null,null,1.160359979,572933,14651,6
Afghanistan,AFG,1972,YR1972,5993595,null,11286753,1400686,12.41,39.3,37.681,38.444,null,null,5.614153041,null,51.98,null,null,1.11717999,597509,14796,6
Afghanistan,AFG,1973,YR1973,6120994,null,11575305,1482681,12.809,39.857,38.241,39.003,null,null,5.688981889,null,55.88,null,null,1.427880049,624374,16293,6
Afghanistan,AFG,1974,YR1974,6250852,null,11869879,1569079,13.219,40.397,38.792,39.55,null,null,5.663688753,null,57.56,null,null,null,654209,17579,6
Afghanistan,AFG,1975,YR1975,6376579,null,12157386,1658389,13.641,40.938,39.35,40.1,null,null,5.535782619,null,59.2,null,null,1.30332005,692342,18558,6
Afghanistan,AFG,1976,YR1976,6491903,null,12425267,1748732,14.074,41.483,39.892,40.645,null,null,5.304430466,null,63.89,null,null,null,729667,20406,6
Afghanistan,AFG,1977,YR1977,6603844,null,12687301,1841815,14.517,42.044,40.492,41.228,null,null,5.18605446,null,57.35,null,null,null,764175,null,6
